request_id,arrival_time_ms,prompt_tokens,output_tokens,tenant_id,priority_class,ttft_slo_ms,itl_slo_ms,prefix_id,abandoned_at_ms,request_type
burstgpt-000767,2155500,589,507,model-chatgpt,interactive,950,145,,,
burstgpt-000768,2155650,842,667,model-chatgpt,interactive,950,145,,,
burstgpt-000769,2156900,1542,249,model-chatgpt,interactive,950,145,,,
burstgpt-000770,2158350,1141,211,model-chatgpt,interactive,950,145,,,
burstgpt-000771,2158900,384,88,model-chatgpt,interactive,950,145,,,
burstgpt-000772,2159800,38,52,model-chatgpt,interactive,950,145,,,
burstgpt-000773,2161950,525,58,model-chatgpt,interactive,950,145,,,
burstgpt-000774,2166450,1523,370,model-chatgpt,interactive,950,145,,,
burstgpt-000775,2168600,14,98,model-gpt-4,interactive,950,145,,,
burstgpt-000776,2172900,1494,208,model-chatgpt,interactive,950,145,,,
burstgpt-000777,2173950,1645,190,model-chatgpt,interactive,950,145,,,
burstgpt-000778,2174850,1395,157,model-chatgpt,interactive,950,145,,,
burstgpt-000779,2176900,1245,386,model-chatgpt,interactive,950,145,,,
burstgpt-000780,2176950,1000,381,model-chatgpt,interactive,950,145,,,
burstgpt-000781,2178000,1497,398,model-chatgpt,interactive,950,145,,,
burstgpt-000782,2178700,787,312,model-gpt-4,interactive,950,145,,,
burstgpt-000783,2180700,1804,685,model-chatgpt,interactive,950,145,,,
burstgpt-000784,2182700,209,528,model-chatgpt,interactive,950,145,,,
burstgpt-000785,2182800,2026,652,model-chatgpt,interactive,950,145,,,
burstgpt-000786,2187150,66,170,model-chatgpt,interactive,950,145,,,
burstgpt-000787,2188150,374,266,model-chatgpt,interactive,950,145,,,
burstgpt-000788,2188900,654,314,model-chatgpt,interactive,950,145,,,
burstgpt-000789,2188950,861,128,model-gpt-4,interactive,950,145,,,
burstgpt-000790,2192300,595,228,model-gpt-4,interactive,950,145,,,
burstgpt-000791,2196350,69,25,model-chatgpt,interactive,950,145,,,
burstgpt-000792,2199750,75,17,model-chatgpt,interactive,950,145,,,
burstgpt-000793,2201350,72,13,model-chatgpt,interactive,950,145,,,
burstgpt-000794,2202600,93,20,model-chatgpt,interactive,950,145,,,
burstgpt-000795,2203800,83,21,model-chatgpt,interactive,950,145,,,
burstgpt-000796,2204950,83,15,model-chatgpt,interactive,950,145,,,
burstgpt-000797,2205150,27,504,model-chatgpt,interactive,950,145,,,
burstgpt-000798,2207800,1338,601,model-chatgpt,interactive,950,145,,,
burstgpt-000799,2208150,8,9,model-chatgpt,interactive,950,145,,,
